repo,commit,committed,author_class,author_subclass,file,packages_moved,mcp_before,mcp_after
R05,7377a84337,2026-04-01T15:42:47+02:00,unknown,"no bot marker, not a GitHub noreply address",uv.lock,1,1.26.0,1.26.0
R05,f65980bd8c,2026-04-03T16:17:39+02:00,unknown,"no bot marker, not a GitHub noreply address",uv.lock,1,1.26.0,1.26.0
R05,cd1ce8dc60,2026-04-07T01:54:03+02:00,unknown,"no bot marker, not a GitHub noreply address",uv.lock,2,1.26.0,1.26.0
R05,0ea7a46593,2026-04-07T13:53:36+02:00,unknown,"no bot marker, not a GitHub noreply address",uv.lock,2,1.26.0,1.26.0
R05,a0519d183d,2026-04-08T22:58:26+00:00,bot,dependency-update bot,uv.lock,1,1.26.0,1.26.0
R05,d572f48e4c,2026-04-10T17:20:33+02:00,unknown,"no bot marker, not a GitHub noreply address",uv.lock,2,1.26.0,1.26.0
R05,38699a8470,2026-04-11T16:52:22+02:00,unknown,"no bot marker, not a GitHub noreply address",uv.lock,1,1.26.0,1.26.0
R05,f3de97084b,2026-04-12T14:08:37+02:00,unknown,"no bot marker, not a GitHub noreply address",uv.lock,1,1.26.0,1.26.0
R05,ab67ecab3b,2026-04-13T08:47:51+02:00,human account,"GitHub noreply address, not marked as bot",uv.lock,3,1.26.0,1.26.0
R05,eb9198fec7,2026-04-13T22:07:10+00:00,bot,dependency-update bot,uv.lock,1,1.26.0,1.26.0
R05,1e6345cae9,2026-04-14T17:46:53+02:00,unknown,"no bot marker, not a GitHub noreply address",uv.lock,1,1.26.0,1.26.0
R05,a2061c1f4e,2026-04-15T13:35:01+02:00,unknown,"no bot marker, not a GitHub noreply address",uv.lock,2,1.26.0,1.26.0
R05,8691ae3046,2026-04-15T21:21:13+00:00,bot,dependency-update bot,uv.lock,1,1.26.0,1.26.0
R05,8ebe6322f2,2026-04-21T18:12:38+00:00,bot,dependency-update bot,uv.lock,1,1.26.0,1.26.0
R05,91977532fd,2026-04-22T00:49:41+02:00,unknown,"no bot marker, not a GitHub noreply address",uv.lock,8,1.26.0,1.26.0
R06,36e21d88d6,2026-03-27T01:42:01+09:00,human account,"GitHub noreply address, not marked as bot",uv.lock,11,1.26.0,1.26.0
R06,4f80968083,2026-03-27T02:00:34+09:00,human account,"GitHub noreply address, not marked as bot",uv.lock,1,1.26.0,1.26.0
R06,b247a99f45,2026-03-27T13:57:42+09:00,human account,"GitHub noreply address, not marked as bot",uv.lock,2,1.26.0,1.26.0
R06,45c738d874,2026-03-27T20:12:41+09:00,human account,"GitHub noreply address, not marked as bot",uv.lock,5,1.26.0,1.26.0
R06,8b3eb28290,2026-03-27T21:47:26+09:00,human account,"GitHub noreply address, not marked as bot",uv.lock,4,1.26.0,1.26.0
R06,0f69162e4e,2026-03-28T13:59:36+09:00,human account,"GitHub noreply address, not marked as bot",uv.lock,4,1.26.0,1.26.0
R06,7fe75c7241,2026-03-28T17:00:22+09:00,human account,"GitHub noreply address, not marked as bot",uv.lock,1,1.26.0,1.26.0
R06,896121c72a,2026-03-29T01:09:03+09:00,human account,"GitHub noreply address, not marked as bot",uv.lock,1,1.26.0,1.26.0
R06,a29b412aaf,2026-03-29T18:10:38+09:00,human account,"GitHub noreply address, not marked as bot",uv.lock,4,1.26.0,1.26.0
R06,10d9ca81c2,2026-03-30T00:45:20+09:00,human account,"GitHub noreply address, not marked as bot",uv.lock,1,1.26.0,1.26.0
R06,6a1c67c3bd,2026-03-30T13:56:35+09:00,human account,"GitHub noreply address, not marked as bot",uv.lock,1,1.26.0,1.26.0
R06,a094f46d49,2026-03-30T20:15:12+09:00,human account,"GitHub noreply address, not marked as bot",uv.lock,1,1.26.0,1.26.0
R06,fff3b325b2,2026-03-31T06:54:04+09:00,human account,"GitHub noreply address, not marked as bot",uv.lock,36,1.26.0,1.26.0
R06,80ecc3408a,2026-03-31T15:27:10+09:00,human account,"GitHub noreply address, not marked as bot",uv.lock,1,1.26.0,1.26.0
R06,64bea47b2c,2026-03-31T19:50:48+09:00,human account,"GitHub noreply address, not marked as bot",uv.lock,1,1.26.0,1.26.0
R06,7bddc1dcfa,2026-04-01T07:46:25+09:00,human account,"GitHub noreply address, not marked as bot",uv.lock,25,1.26.0,1.26.0
R06,6514cd32ef,2026-04-01T17:06:47+09:00,human account,"GitHub noreply address, not marked as bot",uv.lock,49,1.26.0,1.26.0
R06,9d15e60515,2026-04-01T18:35:32+09:00,human account,"GitHub noreply address, not marked as bot",uv.lock,21,1.26.0,1.26.0
R06,245ea57013,2026-04-01T23:07:32+09:00,human account,"GitHub noreply address, not marked as bot",uv.lock,1,1.26.0,1.26.0
R06,538602eb35,2026-04-02T11:26:41+09:00,human account,"GitHub noreply address, not marked as bot",uv.lock,1,1.26.0,1.26.0
R06,f1ce80a45d,2026-04-02T15:09:31+09:00,human account,"GitHub noreply address, not marked as bot",uv.lock,1,1.26.0,1.26.0
R06,2596d10437,2026-04-02T16:45:40+09:00,human account,"GitHub noreply address, not marked as bot",uv.lock,30,1.26.0,1.26.0
R06,c7b4cf990b,2026-04-02T17:59:05+09:00,human account,"GitHub noreply address, not marked as bot",uv.lock,1,1.26.0,1.26.0
R06,d365417d62,2026-04-03T22:27:59+09:00,human account,"GitHub noreply address, not marked as bot",uv.lock,1,1.26.0,1.26.0
R06,7ffb46128e,2026-04-04T06:19:50+09:00,human account,"GitHub noreply address, not marked as bot",uv.lock,1,1.26.0,1.26.0
R06,67d65263e1,2026-04-04T14:21:32+09:00,human account,"GitHub noreply address, not marked as bot",uv.lock,1,1.26.0,1.26.0
R06,9396893a23,2026-04-04T22:07:05+09:00,human account,"GitHub noreply address, not marked as bot",uv.lock,1,1.26.0,1.26.0
R06,22b41e5d94,2026-04-06T06:04:53+09:00,human account,"GitHub noreply address, not marked as bot",uv.lock,1,1.26.0,1.26.0
R06,cb4f21362b,2026-04-06T23:20:33+09:00,human account,"GitHub noreply address, not marked as bot",uv.lock,2,1.26.0,1.26.0
R06,2a8dd8d87a,2026-04-07T02:41:47+09:00,human account,"GitHub noreply address, not marked as bot",uv.lock,2,1.26.0,1.26.0
R06,6b44e12df1,2026-04-09T02:48:03+09:00,human account,"GitHub noreply address, not marked as bot",uv.lock,1,1.26.0,1.26.0
R06,6ce8da2a73,2026-04-09T08:28:33+09:00,human account,"GitHub noreply address, not marked as bot",uv.lock,1,1.26.0,1.26.0
R06,a8a3d0c384,2026-04-09T09:47:37+09:00,human account,"GitHub noreply address, not marked as bot",uv.lock,1,1.26.0,1.26.0
R06,454efcc9c6,2026-04-10T00:20:03+09:00,human account,"GitHub noreply address, not marked as bot",uv.lock,0,1.26.0,1.26.0
R06,7f6cd47955,2026-04-10T00:38:55+09:00,human account,"GitHub noreply address, not marked as bot",uv.lock,1,1.26.0,1.26.0
R06,2cfd00aadb,2026-04-12T11:27:53+09:00,human account,"GitHub noreply address, not marked as bot",uv.lock,1,1.26.0,1.26.0
R06,761d5e749d,2026-04-13T07:52:50+09:00,human account,"GitHub noreply address, not marked as bot",uv.lock,0,1.26.0,1.26.0
R06,c40f3d3d5b,2026-04-13T08:15:50+09:00,human account,"GitHub noreply address, not marked as bot",uv.lock,1,1.26.0,1.26.0
R06,53e6e9811d,2026-04-13T16:51:05+09:00,human account,"GitHub noreply address, not marked as bot",uv.lock,1,1.26.0,1.26.0
R06,3b4fa3d1b0,2026-04-13T22:57:18+09:00,human account,"GitHub noreply address, not marked as bot",uv.lock,23,1.26.0,1.27.0
R06,e90a863f17,2026-04-13T23:11:21+09:00,human account,"GitHub noreply address, not marked as bot",uv.lock,1,1.27.0,1.27.0
R06,45cb7d82dd,2026-04-15T10:09:01+09:00,human account,"GitHub noreply address, not marked as bot",uv.lock,1,1.27.0,1.27.0
R06,2ff4e663d3,2026-04-15T18:16:38+09:00,human account,"GitHub noreply address, not marked as bot",uv.lock,1,1.27.0,1.27.0
R06,87e6701db2,2026-04-16T11:34:26+09:00,human account,"GitHub noreply address, not marked as bot",uv.lock,1,1.27.0,1.27.0
R06,bfa2ec1867,2026-04-18T08:28:19+09:00,human account,"GitHub noreply address, not marked as bot",uv.lock,1,1.27.0,1.27.0
R06,3fba7f2dd7,2026-04-20T04:44:46+09:00,human account,"GitHub noreply address, not marked as bot",uv.lock,2,1.27.0,1.27.0
R06,191aa06638,2026-04-20T04:51:24+09:00,human account,"GitHub noreply address, not marked as bot",uv.lock,10,1.27.0,1.27.0
R06,f479da0321,2026-04-21T10:03:17+09:00,human account,"GitHub noreply address, not marked as bot",uv.lock,20,1.27.0,1.27.0
R06,4dd5dfe326,2026-04-21T16:29:00+09:00,human account,"GitHub noreply address, not marked as bot",uv.lock,1,1.27.0,1.27.0
R06,2f0b4375e3,2026-04-22T17:37:56+09:00,human account,"GitHub noreply address, not marked as bot",uv.lock,1,1.27.0,1.27.0
R07,6a50d1d521,2026-03-26T10:11:34+01:00,unknown,"no bot marker, not a GitHub noreply address",uv.lock,3,1.26.0,1.26.0
R07,54b9a17457,2026-03-31T16:28:55+02:00,unknown,"no bot marker, not a GitHub noreply address",uv.lock,2,1.26.0,1.26.0
R07,9c1c32e058,2026-04-01T18:38:22+02:00,unknown,"no bot marker, not a GitHub noreply address",uv.lock,1,1.26.0,1.26.0
R07,90763daf81,2026-04-03T15:56:50+02:00,unknown,"no bot marker, not a GitHub noreply address",uv.lock,16,1.26.0,1.26.0
R07,e9a9217cc8,2026-04-09T18:40:46+02:00,unknown,"no bot marker, not a GitHub noreply address",uv.lock,2,1.26.0,1.26.0
R07,e1a25caa52,2026-04-14T10:33:15+02:00,unknown,"no bot marker, not a GitHub noreply address",uv.lock,4,1.26.0,1.26.0
R07,95336528f6,2026-04-16T11:10:26+02:00,unknown,"no bot marker, not a GitHub noreply address",uv.lock,2,1.26.0,1.26.0
R07,04305bd77c,2026-04-21T15:19:59+02:00,unknown,"no bot marker, not a GitHub noreply address",uv.lock,1,1.26.0,1.26.0
R07,a83c81ecf5,2026-04-21T16:33:50+02:00,unknown,"no bot marker, not a GitHub noreply address",uv.lock,1,1.26.0,1.26.0
