figure,value,denominator,basis
"window share of mcp downloads, installer class Browser",0.01,31724 of 219940356,mcp_installer_and_file_type_window.csv
"window share of mcp downloads, installer class other named (Homebrew, OS, setuptools, conda, and a ""pip"" with an invisible character)",0.0,1495 of 219940356,mcp_installer_and_file_type_window.csv
"share of mcp 1.27.0 downloads flagged CI, 3 to 22 April",10.58,9940759 of 93961053,mcp_daily_by_ci_flag.csv
"share of all mcp downloads flagged CI, LH002 window",34.58,75971844 of 219695030,mcp_daily_by_ci_flag.csv
"mcp downloads with CI flag unknown, LH002 window",0,219695030,mcp_daily_by_ci_flag.csv
"mcp downloads with CI flag unknown, 17 January to 27 February",0,118760434,clickpy_mcp_daily_by_ci_contrast.csv
"weekend mean over weekday mean, mcp all versions, 6 to 26 April",0.786,"6 weekend days, 15 weekdays; means 7153739 and 9099597",derived from the daily tables
"weekend mean over weekday mean, mcp 1.27.0, 6 to 26 April",0.878,"6 weekend days, 15 weekdays; means 4532530 and 5163348",derived from the daily tables
"weekend mean over weekday mean, mcp 1.26.0, 6 to 26 April",0.517,"6 weekend days, 15 weekdays; means 560337 and 1083842",derived from the daily tables
"weekend mean over weekday mean, mcp 1.27.0 flagged CI, 6 to 26 April",0.659,"6 weekend days, 15 weekdays; means 397641 and 603033",derived from the daily tables
"weekend mean over weekday mean, mcp 1.27.0 not flagged CI, 6 to 26 April",0.908,"6 weekend days, 15 weekdays; means 4134888 and 4552062",derived from the daily tables
"weekend mean over weekday mean, mcp 1.27.0 by uv, 6 to 26 April",0.924,"6 weekend days, 15 weekdays; means 3850613 and 4166305",derived from the daily tables
"weekend mean over weekday mean, mcp 1.26.0 by uv, 6 to 26 April",0.476,"6 weekend days, 15 weekdays; means 405174 and 851494",derived from the daily tables
"weekend mean over weekday mean, mcp 1.27.0 by pip, 6 to 26 April",0.691,"6 weekend days, 15 weekdays; means 674568 and 976856",derived from the daily tables
"weekend mean over weekday mean, mcp 1.26.0 by pip, 6 to 26 April",0.737,"6 weekend days, 15 weekdays; means 141670 and 192332",derived from the daily tables
"lean-lsp-mcp 0.26.0 and 0.26.1 downloads, 8 April to 3 May (before 0.26.2)",38953,26 UTC days,lean_lsp_mcp_daily.csv
"the same, as a share of mcp 1.27.0 downloads over the days ClickPy holds both",0.04,38953 of 109023441 (mcp 1.27.0 over 8 to 29 April only; days after 29 April were not read by version),lean_lsp_mcp_daily.csv
"lean-lsp-mcp 0.26.0 and 0.26.1 downloads as a share of mcp 1.27.0 downloads, 8 to 29 April",0.03,35024 of 109023441,lean_lsp_mcp_daily.csv
"all installers, 1.27.0: first UTC day with any download",2026-04-02 (day 0),1639539 of 7351271 (22.3 per cent),uptake_thresholds.csv
"all installers, 1.27.0: first UTC day with share at or above 10 per cent",2026-04-02 (day 0),1639539 of 7351271 (22.3 per cent),uptake_thresholds.csv
"all installers, 1.27.0: first UTC day with share at or above 25 per cent",2026-04-03 (day 1),3201463 of 6657180 (48.09 per cent),uptake_thresholds.csv
"all installers, 1.27.0: first UTC day with share at or above 50 per cent",2026-04-04 (day 2),2673423 of 5243831 (50.98 per cent),uptake_thresholds.csv
"all installers, 1.27.0: highest daily share in the span read",2026-04-12 (day 10),6161983 of 8733743 (70.55 per cent),uptake_thresholds.csv
"all installers, 1.26.0: first UTC day with any download",2026-01-24 (day 0),188077 of 1585920 (11.86 per cent),uptake_thresholds.csv
"all installers, 1.26.0: first UTC day with share at or above 10 per cent",2026-01-24 (day 0),188077 of 1585920 (11.86 per cent),uptake_thresholds.csv
"all installers, 1.26.0: first UTC day with share at or above 25 per cent",2026-01-25 (day 1),1042794 of 1690307 (61.69 per cent),uptake_thresholds.csv
"all installers, 1.26.0: first UTC day with share at or above 50 per cent",2026-01-25 (day 1),1042794 of 1690307 (61.69 per cent),uptake_thresholds.csv
"all installers, 1.26.0: highest daily share in the span read",2026-02-22 (day 29),1597467 of 2344703 (68.13 per cent),uptake_thresholds.csv
"installer class: pip, 1.27.0: first UTC day with any download",2026-04-02 (day 0),357603 of 1778264 (20.11 per cent),uptake_thresholds.csv
"installer class: pip, 1.27.0: first UTC day with share at or above 10 per cent",2026-04-02 (day 0),357603 of 1778264 (20.11 per cent),uptake_thresholds.csv
"installer class: pip, 1.27.0: first UTC day with share at or above 25 per cent",2026-04-03 (day 1),793472 of 1497963 (52.97 per cent),uptake_thresholds.csv
"installer class: pip, 1.27.0: first UTC day with share at or above 50 per cent",2026-04-03 (day 1),793472 of 1497963 (52.97 per cent),uptake_thresholds.csv
"installer class: pip, 1.27.0: highest daily share in the span read",2026-04-25 (day 23),731375 of 1213205 (60.28 per cent),uptake_thresholds.csv
"installer class: uv, 1.27.0: first UTC day with any download",2026-04-02 (day 0),1275361 of 5465976 (23.33 per cent),uptake_thresholds.csv
"installer class: uv, 1.27.0: first UTC day with share at or above 10 per cent",2026-04-02 (day 0),1275361 of 5465976 (23.33 per cent),uptake_thresholds.csv
"installer class: uv, 1.27.0: first UTC day with share at or above 25 per cent",2026-04-03 (day 1),2396226 of 5090516 (47.07 per cent),uptake_thresholds.csv
"installer class: uv, 1.27.0: first UTC day with share at or above 50 per cent",2026-04-08 (day 6),3662636 of 6662402 (54.97 per cent),uptake_thresholds.csv
"installer class: uv, 1.27.0: highest daily share in the span read",2026-04-12 (day 10),5491378 of 7537813 (72.85 per cent),uptake_thresholds.csv
"installer class: pip, 1.26.0: first UTC day with any download",2026-01-24 (day 0),84927 of 788026 (10.78 per cent),uptake_thresholds.csv
"installer class: pip, 1.26.0: first UTC day with share at or above 10 per cent",2026-01-24 (day 0),84927 of 788026 (10.78 per cent),uptake_thresholds.csv
"installer class: pip, 1.26.0: first UTC day with share at or above 25 per cent",2026-01-25 (day 1),468597 of 741065 (63.23 per cent),uptake_thresholds.csv
"installer class: pip, 1.26.0: first UTC day with share at or above 50 per cent",2026-01-25 (day 1),468597 of 741065 (63.23 per cent),uptake_thresholds.csv
"installer class: pip, 1.26.0: highest daily share in the span read",2026-01-25 (day 1),468597 of 741065 (63.23 per cent),uptake_thresholds.csv
"installer class: uv, 1.26.0: first UTC day with any download",2026-01-24 (day 0),102034 of 768050 (13.28 per cent),uptake_thresholds.csv
"installer class: uv, 1.26.0: first UTC day with share at or above 10 per cent",2026-01-24 (day 0),102034 of 768050 (13.28 per cent),uptake_thresholds.csv
"installer class: uv, 1.26.0: first UTC day with share at or above 25 per cent",2026-01-25 (day 1),566733 of 911507 (62.18 per cent),uptake_thresholds.csv
"installer class: uv, 1.26.0: first UTC day with share at or above 50 per cent",2026-01-25 (day 1),566733 of 911507 (62.18 per cent),uptake_thresholds.csv
"installer class: uv, 1.26.0: highest daily share in the span read",2026-02-22 (day 29),1042474 of 1400207 (74.45 per cent),uptake_thresholds.csv
"CI flag: false, 1.27.0: first UTC day with any download",2026-04-02 (day 0),1453665 of 4404452 (33.0 per cent),uptake_thresholds.csv
"CI flag: false, 1.27.0: first UTC day with share at or above 10 per cent",2026-04-02 (day 0),1453665 of 4404452 (33.0 per cent),uptake_thresholds.csv
"CI flag: false, 1.27.0: first UTC day with share at or above 25 per cent",2026-04-02 (day 0),1453665 of 4404452 (33.0 per cent),uptake_thresholds.csv
"CI flag: false, 1.27.0: first UTC day with share at or above 50 per cent",2026-04-03 (day 1),2861438 of 4050077 (70.65 per cent),uptake_thresholds.csv
"CI flag: false, 1.27.0: highest daily share in the span read",2026-04-12 (day 10),5808116 of 6658425 (87.23 per cent),uptake_thresholds.csv
"CI flag: true, 1.27.0: first UTC day with any download",2026-04-02 (day 0),185874 of 2946819 (6.31 per cent),uptake_thresholds.csv
"CI flag: true, 1.27.0: first UTC day with share at or above 10 per cent",2026-04-03 (day 1),340025 of 2607103 (13.04 per cent),uptake_thresholds.csv
"CI flag: true, 1.27.0: first UTC day with share at or above 25 per cent",not reached (day ), of  ( per cent),uptake_thresholds.csv
"CI flag: true, 1.27.0: first UTC day with share at or above 50 per cent",not reached (day ), of  ( per cent),uptake_thresholds.csv
"CI flag: true, 1.27.0: highest daily share in the span read",2026-04-29 (day 27),794048 of 3493846 (22.73 per cent),uptake_thresholds.csv
"CI flag: false, 1.26.0: first UTC day with any download",2026-01-24 (day 0),162090 of 1232817 (13.15 per cent),uptake_thresholds.csv
"CI flag: false, 1.26.0: first UTC day with share at or above 10 per cent",2026-01-24 (day 0),162090 of 1232817 (13.15 per cent),uptake_thresholds.csv
"CI flag: false, 1.26.0: first UTC day with share at or above 25 per cent",2026-01-25 (day 1),903339 of 1343038 (67.26 per cent),uptake_thresholds.csv
"CI flag: false, 1.26.0: first UTC day with share at or above 50 per cent",2026-01-25 (day 1),903339 of 1343038 (67.26 per cent),uptake_thresholds.csv
"CI flag: false, 1.26.0: highest daily share in the span read",2026-02-22 (day 29),1378520 of 1897971 (72.63 per cent),uptake_thresholds.csv
"CI flag: true, 1.26.0: first UTC day with any download",2026-01-24 (day 0),25987 of 353103 (7.36 per cent),uptake_thresholds.csv
"CI flag: true, 1.26.0: first UTC day with share at or above 10 per cent",2026-01-25 (day 1),139455 of 347269 (40.16 per cent),uptake_thresholds.csv
"CI flag: true, 1.26.0: first UTC day with share at or above 25 per cent",2026-01-25 (day 1),139455 of 347269 (40.16 per cent),uptake_thresholds.csv
"CI flag: true, 1.26.0: first UTC day with share at or above 50 per cent",not reached (day ), of  ( per cent),uptake_thresholds.csv
"CI flag: true, 1.26.0: highest daily share in the span read",2026-02-22 (day 29),218947 of 446732 (49.01 per cent),uptake_thresholds.csv
"share of mcp 1.25.0 downloads flagged CI, 3 to 22 April",59.61,2712570 of 4550323,mcp_ci_by_version_class.csv
"share of mcp 1.26.0 downloads flagged CI, 3 to 22 April",48.59,8920844 of 18359190,mcp_ci_by_version_class.csv
"share of mcp 1.27.0 downloads flagged CI, 3 to 22 April",10.58,9940759 of 93961053,mcp_ci_by_version_class.csv
"share of mcp other downloads flagged CI, 3 to 22 April",72.9,34233448 of 46957197,mcp_ci_by_version_class.csv
"share of CI-flagged mcp downloads that were 1.25.0, 3 to 22 April",4.86,2712570 of 55807621,mcp_ci_by_version_class.csv
"share of CI-flagged mcp downloads that were 1.26.0, 3 to 22 April",15.98,8920844 of 55807621,mcp_ci_by_version_class.csv
"share of CI-flagged mcp downloads that were 1.27.0, 3 to 22 April",17.81,9940759 of 55807621,mcp_ci_by_version_class.csv
"share of CI-flagged mcp downloads that were other, 3 to 22 April",61.34,34233448 of 55807621,mcp_ci_by_version_class.csv
