read_utc,source,label,endpoint,query,http_status,rows_or_bytes,output
2026-09-26T17:18:24Z,ClickPy (ClickHouse public demo),C08 mcp ci flag contrast,https://sql-clickhouse.clickhouse.com/?user=demo,"SELECT date, multiIf(version = '1.27.0', '1.27.0', version = '1.26.0', '1.26.0', version = '1.25.0', '1.25.0', version = '1.26.1', '1.26.1', 'other') AS version_class, toString(ci) AS ci, count() AS downloads FROM pypi.pypi WHERE project = 'mcp' AND date BETWEEN '2026-01-17' AND '2026-02-27' GROUP BY date, version_class, ci ORDER BY date, version_class, ci FORMAT CSVWithNames",200,238,clickpy_mcp_daily_by_ci_contrast.csv
2026-09-26T17:18:27Z,ClickPy (ClickHouse public demo),C09 lean-lsp-mcp,https://sql-clickhouse.clickhouse.com/?user=demo,"SELECT date, version, installer, type, toString(ci) AS ci, count() AS downloads FROM pypi.pypi WHERE project = 'lean-lsp-mcp' AND date BETWEEN '2026-03-19' AND '2026-05-10' GROUP BY date, version, installer, type, ci ORDER BY date, version, installer, type, ci FORMAT CSVWithNames",200,4270,clickpy_lean_lsp_mcp_window.csv
2026-09-26T17:18:28Z,ClickPy (ClickHouse public demo),C10 cohort daily totals,https://sql-clickhouse.clickhouse.com/?user=demo,"SELECT date, project, sum(count) AS downloads FROM pypi.pypi_downloads_per_day WHERE project IN ('mcp','agentcrew-ai','databricks-tellr-app','lean-lsp-mcp','pyp6xer-mcp','serena-agent','dartlab','mistral-vibe','octobot','jesse') AND date BETWEEN '2026-03-19' AND '2026-04-29' GROUP BY date, project ORDER BY project, date FORMAT CSVWithNames",200,411,clickpy_cohort_daily_total.csv
2026-09-26T17:18:30Z,pypistats.org,P overall mcp,https://pypistats.org/api/packages/mcp/overall,,200,25345,pypistats_mcp_overall.csv
2026-09-26T17:18:31Z,pypistats.org,P overall lean-lsp-mcp,https://pypistats.org/api/packages/lean-lsp-mcp/overall,,200,24399,pypistats_lean-lsp-mcp_overall.csv
2026-09-26T17:18:32Z,pypistats.org,P system mcp,https://pypistats.org/api/packages/mcp/system,,200,54261,pypistats_mcp_system.csv
2026-09-26T17:18:34Z,pypistats.org,P python_minor mcp,https://pypistats.org/api/packages/mcp/python_minor,,200,119900,pypistats_mcp_python_minor.csv
2026-09-26T17:18:35Z,pypistats.org,P probe version,https://pypistats.org/api/packages/mcp/version,,404,3,
2026-09-26T17:18:36Z,pypistats.org,P probe installer,https://pypistats.org/api/packages/mcp/installer,,404,3,
2026-09-26T17:18:38Z,pepy.tech,E v2 mcp,https://pepy.tech/api/v2/projects/mcp,,200,85786,pepy_mcp_daily_by_version.csv
2026-09-26T17:18:39Z,pepy.tech,E v2 lean-lsp-mcp,https://pepy.tech/api/v2/projects/lean-lsp-mcp,,200,47016,pepy_lean-lsp-mcp_daily_by_version.csv
2026-09-26T17:18:41Z,pepy.tech,E documented host without key,https://api.pepy.tech/api/v2/projects/mcp,,401,33,
2026-09-26T17:19:14Z,PyPI JSON API,R mcp,https://pypi.org/pypi/mcp/json,,200,119749,pypi_release_files.csv
2026-09-26T17:19:15Z,PyPI JSON API,R lean-lsp-mcp,https://pypi.org/pypi/lean-lsp-mcp/json,,200,149273,pypi_release_files.csv
2026-09-26T17:22:47Z,ClickPy (ClickHouse public demo),C11 mcp by file type,https://sql-clickhouse.clickhouse.com/?user=demo,"SELECT date, multiIf(version = '1.27.0', '1.27.0', version = '1.26.0', '1.26.0', version = '1.25.0', '1.25.0', version = '1.26.1', '1.26.1', 'other') AS version_class, type, sum(count) AS downloads FROM pypi.pypi_downloads_per_day_by_version_by_file_type WHERE project = 'mcp' AND date BETWEEN '2026-03-19' AND '2026-04-29' GROUP BY date, version_class, type ORDER BY date, version_class, type FORMAT CSVWithNames",200,308,clickpy_mcp_daily_by_file_type_window.csv
2026-09-26T17:25:07Z,ClickPy (ClickHouse public demo),C12 mcp before 2024-11-20,https://sql-clickhouse.clickhouse.com/?user=demo,"SELECT toYear(date) AS year, sum(count) AS downloads, min(date) AS first_day, max(date) AS last_day FROM pypi.pypi_downloads_per_day WHERE project = 'mcp' AND date < '2024-11-20' GROUP BY year ORDER BY year FORMAT CSVWithNames",200,9,clickpy_mcp_before_current_project.csv
